sensorId,reading,threshold
hash_1,45.96107145398087,55.36449135809439
hash_2,85.10019608923807,91.0632534507636
hash_3,3.0389784258974206,9.651745261275
hash_4,19.977751188553018,22.085997605068666
hash_5,10.406010191238924,19.177426974210935
hash_6,61.24866268412117,64.83311410087455
hash_7,4.909636426747499,5.284347697271711
hash_8,9.298739504152886,17.261421985424736
hash_9,16.290680730571438,22.721687816437672
hash_10,91.64164872562311,94.40074208075256
hash_11,2.025790162854979,6.880798230290477
hash_12,63.962072847215445,64.27307290413843
hash_13,11.953639274779459,18.177645455019192
hash_14,32.692158145017345,33.9691048833409
hash_15,83.78652618460309,88.28249646782226
hash_16,10.818659944013842,14.93330001504529
hash_17,48.83174121086026,57.458050975423255
hash_18,23.40331517252715,26.53803101171725
hash_19,83.59466125559794,85.26519582582465
hash_20,12.209135331642806,20.49407149602459
hash_21,77.40826591931148,78.33118558181849
hash_22,49.860506556765685,55.549070642261995
hash_23,98.83134894796774,108.74802461820235
hash_24,63.12506174238488,72.26735540103613
hash_25,34.28042249544034,34.97943647125564
hash_26,82.19055076711629,91.46381635296643
hash_27,41.2078987097658,43.902792255297825
hash_28,78.21997636278485,87.08130362559986
hash_29,5.111872401387918,7.79798776902353
hash_30,25.0035306634247,34.95537772135297
hash_31,14.760398160910082,23.718230984171168
hash_32,22.18592285347495,23.001947917782957
hash_33,73.23587712790172,74.73830510252793
hash_34,47.33292648990341,55.89271488410818
hash_35,43.75279829196299,53.07389822101355
hash_36,62.01108307611608,68.25008156671915
hash_37,88.6747165703214,94.00111634465712
hash_38,83.0896596005879,84.79749737025857
hash_39,97.75406498817159,106.87840220193166
hash_40,44.63414370797473,53.74302584441766
hash_41,17.340980982404176,25.383556598663397
hash_42,18.045675577606445,20.95318711600823
hash_43,86.15503345627181,93.32665447026913
hash_44,28.511002004746267,37.190947158788845
hash_45,55.186385937745285,65.0851894177621
hash_46,4.362692795822154,8.846026203676626
hash_47,19.390568231419035,20.830808275918397
hash_48,22.609470479060235,24.177447611984107
hash_49,17.063706456897453,26.277560634065704
hash_50,68.68175478086394,72.11763784410525
hash_51,59.1326943990126,64.67961851679081
hash_52,11.347566128826724,19.154078009159356
hash_53,35.06748643546717,35.242006401303485
hash_54,4.789181866724612,11.708890672096434
hash_55,4.720281102093127,6.980858530546704
hash_56,68.99104025756941,76.77848893370823
hash_57,26.119118786233862,30.380371453415293
hash_58,66.87456720546533,72.37474180329295
hash_59,88.09093775367388,90.94152452387583
hash_60,92.02575463747162,101.52589180735626
hash_61,13.5619501953955,18.903354787627435
hash_62,4.396450633165516,9.249748582668158
hash_63,74.48071222032343,78.0404730057134
hash_64,3.0205414308296485,11.003526999216907
hash_65,12.532002180696155,13.501136315407463
hash_66,4.571269996116046,13.643914926674091
hash_67,91.1572610821158,94.14822908973417
hash_68,4.49616975697521,5.897826473914167
hash_69,13.869972037294376,18.80101100313194
hash_70,33.50123163703332,34.748573290582506
hash_71,31.452077509974984,38.14860857381764
hash_72,86.31602279274838,86.98393548383511
hash_73,26.340103123953273,34.9166830772881
hash_74,91.95672870255632,101.43199699681307
hash_75,6.357413337917517,14.11685791069715
hash_76,15.114152252008484,17.127324381513763
hash_77,61.9215709390759,62.89392677398186
hash_78,26.828921404656292,35.80441616511827
hash_79,40.95353377034192,45.609008547160386
hash_80,59.27629550581278,63.70713650526411
hash_81,73.93800200631523,74.35729787254081
hash_82,64.26809970158214,67.7321225181815
hash_83,37.931916714952884,38.11712404151074
hash_84,27.989502072182827,34.39098302298992
hash_85,82.7907638236433,85.16259049754947
hash_86,55.52347605858423,56.98037258782588
hash_87,55.480013574785445,63.24511594756068
hash_88,27.87598528446883,36.690862948303405
hash_89,49.06161681857719,50.35969876768406
hash_90,51.500017578168546,57.16476051379275
hash_91,71.79322446811001,75.65984613942615
hash_92,65.72683916170922,69.22990841053846
hash_93,78.750392640478,85.2706055663494
hash_94,47.04792567204673,53.19073114276209
hash_95,33.47968459311599,41.372173758505674
hash_96,50.851208722847765,60.149609774449985
hash_97,70.4133098491885,74.98717432925702
hash_98,61.00043440435311,61.360968471050214
hash_99,10.123497569819651,13.40264665002545
hash_100,75.55659176616616,75.58725816760547
